Sample number,Wavelength,Absorbance,[AgNO3],[Co-Polymer],[NaBH4],Polymer-Type
1,427,0.6,0.4,0.01,3,1
2,438,1.39,1,0.01,3,1
3,433,1.01,1,0.05,5,1
4,426,0.68,0.4,0.1,3,1
5,429,0.96,0.8,0.05,3,1
6,428,0.44,0.2,0.005,1,1
7,428,0.82,0.8,0.1,3,1
8,428,0.67,0.6,0.1,4,1
9,428,0.63,0.4,0.05,2,1
10,428,0.6,0.4,0.05,5,1
11,435,0.31,0.2,0.1,2,2
12,435,1.23,0.8,0.001,2,2
13,446,1.15,1,0.001,1,2
14,433,1.16,1,0.05,4,2
15,426,0.66,0.4,0.005,3,2
16,428,0.84,0.8,0.05,5,2
17,428,0.81,0.6,0.001,3,2
18,436,0.84,0.4,0.001,1,2
19,428,0.82,0.8,0.1,2,2
20,437,1.27,1,0.1,1,2
21,425,0.7,0.6,0.1,3,3
22,435,0.4,0.2,0.05,1,3
23,435,0.35,0.2,0.05,4,3
24,431,1.02,0.8,0.01,2,3
25,444,1.44,0.8,0.001,1,3
26,429,0.79,0.6,0.05,2,3
27,427,0.66,0.4,0.1,1,3
28,426,0.4,0.2,0.01,1,3
29,423,1.2,0.8,0.1,1,3
30,429,0.82,0.6,0.1,2,3
